LEAID,#schools,#students,district,state,Tier
4830250,12,4681.0,MERCEDES ISD,TX,Tier 3
4830300,2,418.0,MERIDIAN ISD,TX,Tier 1
4830340,4,1097.0,MERKEL ISD,TX,Tier 1
4830360,2,323.0,IRION COUNTY ISD,TX,Tier 1
4830390,50,38527.0,MESQUITE ISD,TX,Tier 4
4830420,5,1844.0,MEXIA ISD,TX,Tier 1
4830450,1,166.0,MEYERSVILLE ISD,TX,Tier 1
4830480,1,195.0,MIAMI ISD,TX,Tier 1
4830570,41,25579.0,MIDLAND ISD,TX,Tier 4
4830600,13,9838.0,MIDLOTHIAN ISD,TX,Tier 3
4830640,11,8253.0,MIDWAY ISD,TX,Tier 3
4830660,1,132.0,MIDWAY ISD,TX,Tier 1
4830690,3,396.0,MILANO ISD,TX,Tier 1
4830720,2,755.0,MILDRED ISD,TX,Tier 1
4830750,4,468.0,MILES ISD,TX,Tier 1
4830780,1,245.0,MILFORD ISD,TX,Tier 1
4830810,1,306.0,MILLER GROVE ISD,TX,Tier 1
4830870,3,1029.0,MILLSAP ISD,TX,Tier 1
4830930,4,1591.0,MINEOLA ISD,TX,Tier 1
4830950,4,3116.0,MINERAL WELLS ISD,TX,Tier 2
4831040,24,15044.0,MISSION CISD,TX,Tier 4
4831170,6,2103.0,MONAHANS-WICKETT-PYOTE ISD,TX,Tier 2
4831200,1,151.0,MONTAGUE ISD,TX,Tier 1
4831230,4,891.0,MONTE ALTO ISD,TX,Tier 1
4831260,11,8920.0,MONTGOMERY ISD,TX,Tier 3
4831290,5,666.0,MOODY ISD,TX,Tier 1
4831320,1,118.0,MORAN ISD,TX,Tier 1
4831380,1,136.0,MORGAN ISD,TX,Tier 1
4831410,1,129.0,MORGAN MILL ISD,TX,Tier 1
4831470,1,374.0,MORTON ISD,TX,Tier 1
4831500,1,167.0,MOTLEY COUNTY ISD,TX,Tier 1
4831560,3,286.0,MOULTON ISD,TX,Tier 1
4831620,2,184.0,MOUNT CALM ISD,TX,Tier 1
4831650,2,403.0,MOUNT ENTERPRISE ISD,TX,Tier 1
